threshold	order	size
150	19169	6710139
151	19169	6616840
152	19169	6531610
153	19169	6448512
154	19169	6368210
155	19169	6282407
156	19169	6201017
157	19169	6115433
158	19169	6039772
159	19169	5957725
160	19169	5877800
161	19169	5812472
162	19168	5724484
163	19168	5654443
164	19168	5559666
165	19168	5497971
166	19168	5393620
167	19168	5331554
168	19168	5254521
169	19168	5200362
170	19168	5137533
171	19168	5082436
172	19168	5026235
173	19168	4969629
174	19168	4907331
175	19168	4858169
176	19168	4794306
177	19168	4747496
178	19168	4687663
179	19168	4641998
180	19168	4577096
181	19168	4533325
182	19167	4471210
183	19167	4428483
184	19167	4369734
185	19166	4329726
186	19166	4281434
187	19166	4232142
188	19166	4185276
189	19166	4139794
190	19166	4094093
191	19166	4051924
192	19165	4010763
193	19165	3968367
194	19165	3926438
195	19165	3885615
196	19165	3845573
197	19165	3806732
198	19165	3767749
199	19165	3730003
200	19165	3692284
201	19165	3652947
202	19165	3611614
203	19165	3571417
204	19165	3531729
205	19165	3493595
206	19165	3459032
207	19165	3426881
208	19165	3396618
209	19165	3364358
210	19164	3333506
211	19164	3301978
212	19164	3270264
213	19164	3240493
214	19164	3208568
215	19164	3178881
216	19164	3151658
217	19163	3123567
218	19163	3096431
219	19163	3070307
220	19163	3044448
221	19163	3012517
222	19163	2986299
223	19162	2955759
224	19162	2927861
225	19161	2896477
226	19161	2872098
227	19161	2846921
228	19161	2824230
229	19161	2800449
230	19161	2776751
231	19161	2753926
232	19161	2730975
233	19161	2709818
234	19161	2690758
235	19161	2670461
236	19161	2649613
237	19161	2630110
238	19161	2608621
239	19161	2588745
240	19161	2569095
241	19161	2548689
242	19161	2529452
243	19161	2510586
244	19160	2490169
245	19160	2468369
246	19160	2447066
247	19160	2425380
248	19160	2409951
249	19160	2384089
250	19160	2367492
251	19160	2346171
252	19160	2330091
253	19158	2308335
254	19158	2293098
255	19158	2272700
256	19158	2257192
257	19157	2236902
258	19157	2221895
259	19156	2202951
260	19156	2188487
261	19154	2172724
262	19154	2158190
263	19154	2144197
264	19154	2129455
265	19153	2115209
266	19153	2101729
267	19153	2087958
268	19152	2074318
269	19152	2061268
270	19152	2046535
271	19152	2030636
272	19152	2016634
273	19152	2003062
274	19152	1989872
275	19152	1977318
276	19152	1964646
277	19152	1952109
278	19151	1939797
279	19151	1927563
280	19151	1915673
