set_id	term_name	observed_edges	lambda	p_value	log2_Anscombe_ratio	set_size	max_possible_edges
GO:0000002	mitochondrial genome maintenance	0	0.0274234693877551	1	-0.0509119250730923	8	28
GO:0000012	single strand break repair	8	0.033265306122449	3.61054136604873e-17	2.17925515550105	8	28
GO:0000017	alpha-glucoside transport	0	0.000153061224489796	1	-0.000294367488453351	2	1
GO:0000018	regulation of DNA recombination	0	0.0026530612244898	1	-0.00508544284456569	3	3
GO:0000019	regulation of mitotic recombination	0	0	1	0	1	0
GO:0000022	mitotic spindle elongation	0	0	1	0	1	0
GO:0000027	ribosomal large subunit assembly	0	0	1	0	1	0
GO:0000050	urea cycle	15	0.109897959183673	2.84190006639311e-27	2.4933807092142	10	45
GO:0000052	citrulline metabolic process	0	0	1	0	1	0
GO:0000055	ribosomal large subunit export from nucleus	0	0.000357142857142857	1	-0.000686670704346692	2	1
GO:0000056	ribosomal small subunit export from nucleus	0	0	1	0	1	0
GO:0000076	DNA replication checkpoint signaling	8	0.0597959183673469	3.84393380650882e-15	2.13383944408474	8	28
GO:0000098	sulfur amino acid catabolic process	1	0.00431122448979592	0.0042927176204628	0.928988824681866	2	1
GO:0000103	sulfate assimilation	1	0.00125	0.00124843945068664	0.93483406582616	2	1
GO:0000154	rRNA modification	0	0.000102040816326531	1	-0.000196258338972743	2	1
GO:0000183	rDNA heterochromatin formation	3	0.00459183673469388	1.60809824729153e-08	1.576183315029	5	10
GO:0000212	meiotic spindle organization	1	0.0142091836734694	0.0141087096706163	0.910406980783165	5	10
GO:0000255	allantoin metabolic process	1	0.00127551020408163	0.00127469708658116	0.934785159251651	3	3
GO:0000271	polysaccharide biosynthetic process	1	0.00181122448979592	0.0018095852121218	0.93375888639609	3	3
GO:0000272	polysaccharide catabolic process	1	0.000637755102040816	0.000637348629700446	0.936008819461022	2	1
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	9	0.0921173469387755	1.21148892364059e-15	2.16348088155711	11	55
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	11	0.0550255102040816	3.33539425894628e-22	2.36265024420164	9	36
GO:0000301	retrograde transport, vesicle recycling within Golgi	29	0.0474489795918367	4.4067781912005e-70	3.05983396403412	9	36
GO:0000303	response to superoxide	1	0.00244897959183673	0.00244299674267101	0.932539033701618	2	1
GO:0000320	re-entry into mitotic cell cycle	0	7.6530612244898e-05	1	-0.00014719875991176	2	1
GO:0000338	protein deneddylation	28	0.0823979591836735	1.33958584879269e-60	2.97751332671256	10	45
GO:0000379	tRNA-type intron splice site recognition and cleavage	3	0.00142857142857143	4.85214989550063e-10	1.58221973117929	3	3
GO:0000389	mRNA 3'-splice site recognition	0	0	1	0	1	0
GO:0000390	spliceosomal complex disassembly	0	0	1	0	1	0
GO:0000413	protein peptidyl-prolyl isomerization	0	0.00303571428571429	1	-0.00581597072705231	4	6
GO:0000425	pexophagy	1	0.00543367346938776	0.00541893776744688	0.926857381931733	6	15
GO:0000430	regulation of transcription from RNA polymerase II promoter by glucose	1	2.55102040816327e-05	2.55095533277212e-05	0.937185489367191	2	1
