num_terms_T	ne_log_ne	sum_kt_log_kt	min_run_time
200	6545.07314256167	1825.61913317543	0.108000000000175
400	12072.8204259753	3365.51225955406	0.193000000000211
600	17375.7612718811	5104.42811731754	0.289000000000669
800	21929.9110170704	7003.08461213781	0.402000000000044
1000	25265.1078486734	8153.83468773329	0.509000000000015
1200	29920.6565131565	10108.3442937684	0.641999999999825
1400	32674.6860312548	11974.5373262188	0.764000000000124
1600	35095.9885004407	13581.9607943484	0.908000000000357
1800	38163.9582245149	15479.772988655	1.03500000000076
2000	40667.6294194315	16952.5781743535	1.16799999999967
2200	42852.5256205026	18699.7562588255	1.3139999999994
2400	45000.1114238712	20389.0009493766	1.45100000000002
2600	46859.5620509089	22139.5980795997	1.59799999999996
2800	48571.7412772835	24039.9684884506	1.77999999999884
3000	50125.2548653118	25638.6053754295	1.93599999999969
