set_size	observed_edges	count_in_group	min_lambda	set_id_at_min	term_at_min	pval_at_min	log2AR_at_min	max_lambda	set_id_at_max	term_at_max	pval_at_max	log2AR_at_max	lambda_ratio
3	3	261	0.000306122448979592	GO:0015851	nucleobase transport	4.77970771086848e-12	1.58437388582073	0.0256122448979592	GO:0034473	U1 snRNA 3'-end processing	2.72940786068937e-06	1.53730453929362	83.6666666666667
4	3	95	0.000433673469387755	GO:0034553	mitochondrial respiratory chain complex II assembly	1.35892678149164e-11	1.58412877129853	0.0325765306122449	GO:0019344	cysteine biosynthetic process	5.62290882368415e-06	1.52487230876982	75.1176470588236
7	3	45	0.000688775510204082	GO:0006004	fucose metabolic process	5.44324016240351e-11	1.5836387919831	0.0516836734693878	GO:1901018	positive regulation of potassium ion transmembrane transporter activity	2.21358516256983e-05	1.49182434421135	75.0370370370371
6	3	54	0.000969387755102041	GO:0015734	taurine transmembrane transport	1.51713978129305e-10	1.58310019886628	0.0605357142857143	GO:0051428	peptide hormone receptor binding	3.53342566562398e-05	1.47701228559981	62.4473684210526
9	3	24	0.00160714285714286	GO:0070633	transepithelial transport	6.91017009908721e-10	1.58187761710105	0.0833673469387755	GO:0002262	myeloid cell homeostasis	9.07275253189141e-05	1.4401556618264	51.8730158730158
6	4	31	0.000969387755102041	GO:0005225	volume-sensitive anion channel activity	3.67656359308812e-14	1.77029795625703	0.0440816326530612	GO:0047035	testosterone dehydrogenase (NAD+) activity	1.51885108417881e-07	1.69198990942792	45.4736842105263
5	4	29	0.00119897959183673	GO:0072345	NAADP-sensitive calcium-release channel activity	8.60239463808909e-14	1.76985758807757	0.0478061224489796	GO:0045324	late endosome to vacuole transport	2.09472279337128e-07	1.68560742199907	39.8723404255321
4	4	35	0.00135204081632653	GO:1990569	UDP-N-acetylglucosamine transmembrane transport	1.39084339395395e-13	1.76956415857369	0.0441581632653061	GO:0033278	cell proliferation in midbrain	1.52933203837218e-07	1.6918581925426	32.6603773584906
4	6	80	0.00160714285714286	GO:0035805	egg coat	2.38944162440481e-20	2.04064653700507	0.0494132653061225	GO:1990131	Gtr1-Gtr2 GTPase complex	1.92428288563034e-11	1.95444184377591	30.7460317460317
4	5	27	0.000943877551020408	GO:0008352	katanin complex	6.23814453772696e-18	1.91883777153225	0.0289030612244898	GO:0034382	chylomicron remnant clearance	1.64086396915819e-10	1.86709188458352	30.6216216216216
8	6	14	0.00239795918367347	GO:0004062	aryl sulfotransferase activity	2.63527290068179e-19	2.03913340770688	0.0732908163265306	GO:0098943	neurotransmitter receptor transport, postsynaptic endosome to lysosome	2.0216226601551e-10	1.91495924608945	30.563829787234
5	3	70	0.00114795918367347	GO:0009812	flavonoid metabolic process	2.51915091942293e-10	1.58275766705215	0.0300510204081633	GO:0021978	telencephalon regionalization	4.42227292105641e-06	1.5293559775467	26.1777777777778
5	5	19	0.0011734693877551	GO:0031591	wybutosine biosynthetic process	1.85247728105481e-17	1.91839737348011	0.027984693877551	GO:0097490	sympathetic neuron projection extension	1.39732341848863e-10	1.8687339030438	23.8478260869565
10	4	13	0.0063265306122449	GO:0015810	aspartate transmembrane transport	6.64130435698717e-11	1.76009210122708	0.149795918367347	GO:0016597	amino acid binding	1.86155253060069e-05	1.52972730624122	23.6774193548387
5	6	34	0.00260204081632653	GO:0032190	acrosin binding	4.30113960082395e-19	2.03874343742007	0.05875	GO:0055102	lipase inhibitor activity	5.430707443021e-11	1.93874483958398	22.578431372549
5	9	11	0.00364795918367347	GO:0005964	phosphorylase kinase complex	3.14239527106494e-28	2.31494481620612	0.0765561224489796	GO:1990130	GATOR1 complex	2.32338161962368e-16	2.18792073931805	20.986013986014
10	3	13	0.00821428571428571	GO:0015125	bile acid transmembrane transporter activity	9.18085543985404e-08	1.56933212661964	0.170459183673469	GO:0071679	commissural neuron axon guidance	0.000726819714942774	1.3146721761584	20.751552795031
