num_terms_T	ne_log_ne	sum_kt_log_kt	min_run_time
200	6090.95461002554	1706.32195501415	0.675999999999476
400	11863.0738557402	3396.33229220017	1.26099999999951
600	17480.4227590687	5099.02194392154	1.86599999999999
800	21519.7216442292	6723.30274611609	2.55799999999999
1000	25636.4795137354	8403.91674665985	3.25
1200	30104.7499248245	10255.1356462666	4.02400000000034
1400	32331.4831083847	11608.8152196712	4.76200000000063
1600	35563.4978920274	13422.849626606	5.64200000000074
1800	38333.5384217437	15329.8827743737	6.3779999999997
2000	40847.7101241378	17276.1312920982	7.26000000000022
2200	42481.2889408587	19008.6299211467	8.22900000000027
2400	44914.0201465695	20244.1831945351	9.17399999999998
2600	46801.9484350299	22066.6921077415	10.1680000000006
2800	48205.7408262283	23812.762882195	11.2480000000005
3000	49468.5586641408	25523.0423928931	12.2960000000003
